Time (s),60psi,80psi,100psi,120psi_old,120psi,140psi
0,0,0,0,0,0,0
0.125,1,2,3,1,1,3
0.25,3,4,6,3,3,7
0.375,5,7,12,7,8,14
0.5,7,14,21,20,12,23
0.625,10,17,27,35,18,29
0.75,12,21,31,40,22,33
0.875,15,24,38,37,27,38
1,16,27,32,41,32,43
1.125,19,31,34,39,35,44
1.25,21,34,39,44,39,50
1.375,23,35,43,43,42,52
1.5,25,36,40,48,45,56
1.625,27,39,40,47,47,58
1.75,28,40,42,51,49,62
1.875,30,42,43,51,51,63
2,30,45,45,51,54,67
2.125,31,48,48,50,55,69
2.25,32,50,51,55,57,71
2.375,31,51,51,54,59,73
2.5,30,51,51,53,60,73
2.625,31,49,48,51,61,75
2.75,31,48,49,51,62,77
2.875,30,48,49,52,63,77
3,30,48,48,52,64,79
3.125,29,48,47,54,64,80
3.25,28,48,47,57,64,79
3.375,27,47,46,58,65,80
3.5,26,46,46,57,64,82
3.625,26,46,44,53,64,80
3.75,26,48,43,50,63,80
3.875,26,46,42,47,63,78
4,24,45,44,44,62,77
4.125,24,44,41,45,62,75
4.25,23,43,41,43,61,74
4.375,22,42,39,41,61,71
4.5,20,40,38,41,59,69
4.625,20,40,38,41,57,66
4.75,19,39,41,37,56,64
4.875,18,38,42,36,55,62
5,18,36,39,38,51,59
5.125,19,36,35,41,53,56
5.25,20,35,33,34,52,53
5.375,19,34,32,33,51,51
5.5,18,33,31,38,51,48
5.625,18,33,30,34,50,45
5.75,17,33,29,31,49,44
5.875,17,32,28,29,48,41
6,16,34,27,28,47,38
6.125,14,35,27,27,47,35
6.25,14,34,26,26,46,32
6.375,13,36,26,25,45,29
6.5,11,32,24,24,45,26
6.625,9,27,23,24,46,23
6.75,9,28,22,23,41,19
6.875,8,27,21,22,40,15
7,9,28,19,22,40,13
7.125,8,28,19,21,40,8
7.25,7,26,21,20,39,6
7.375,6,26,21,20,37,3
7.5,5,24,19,20,36,0
7.625,5,22,16,19,36,
7.75,4,23,15,18,35,
7.875,2,23,14,17,34,
8,1,21,12,17,33,
8.125,0,20,12,16,32,
8.25,,19,11,15,31,
8.375,,18,10,15,31,
8.5,,18,10,15,31,
8.625,,17,10,14,30,
8.75,,17,8,15,28,
8.875,,17,7,16,27,
9,,18,7,16,27,
9.125,,17,5,13,26,
9.25,,14,5,11,25,
9.375,,14,4,9,24,
9.5,,13,4,7,24,
9.625,,13,3,5,24,
9.75,,12,3,4,23,
9.875,,12,2,3,22,
10,,11,1,3,22,
10.125,,12,0,3,23,
10.25,,11,,2,25,
10.375,,11,,1,25,
10.5,,11,,0,22,
10.625,,9,,,22,
10.75,,8,,,22,
10.875,,7,,,19,
11,,7,,,17,
11.125,,6,,,17,
11.25,,7,,,16,
11.375,,3,,,16,
11.5,,2,,,17,
11.625,,5,,,17,
11.75,,2,,,16,
11.875,,0,,,11,
12,,,,,9,
12.125,,,,,8,
12.25,,,,,6,
12.375,,,,,7,
12.5,,,,,6,
12.625,,,,,4,
12.75,,,,,4,
12.875,,,,,3,
13,,,,,2,
13.125,,,,,2,
13.25,,,,,0,
